Faculty,Gender,Registration No.(20/1/400/D/178),Offering time,Year of Graduation,Campus,The Programme met my expectations,The programme curriculum was rich and work-oriented,There was a variety of electives to choose,My lecturers have been teaching regularly,I am competent to apply what I studied at Ndejje University in the field,Lecturers displayed knowledge of course content,Lecturers emphasized critical thinking,Lecturers were available for consultation outside class,Tests and exams were communicated in time for ample preparations,How would you rate the contribution of your mentor/Supervisor to the successes of your Research?,My research experience contributed to my academic success?,"Library facilities (atmosphere, available sitting, hours)","Library staff (assistance in research, effectively finding information, learning how to use the libraries)","Access to electronic library resources (databases, electronic journals, and electronic books)",The hostels facilities were conducive,The staff at the Dean of Students office were supportive during challenges,Students were encouraged to participate in co-curricular activities,The quality of meals was adequate,There were adequate counselling services in place,The Chaplaincy activities contributed to my spiritual welfare,Suggestion for Improvement of the above services provided,ICT staff have been available for assistance,Projectors were available for learning,There was an effective Public Address for my class,There was access to reliable internet at the Faculty,There was access to computer labs during the practical courses,Online learning (ODeL) experience,Overall Satisfaction with University Departments [VC and DVC offices],Overall Satisfaction with University Departments [Academic Registrarâ€™s office],Overall Satisfaction with University Departments [Finance/Accounts],Overall Satisfaction with University Departments [Students Guild services],Overall Satisfaction with University Departments [Chaplaincy],Overall Satisfaction with University Departments [Sports facilities and recreation services],Overall Satisfaction with University Departments [Kitchen Services],Overall Satisfaction with University Departments [University Health Services],Overall Satisfaction with University Departments [Halls of residence],Overall Satisfaction with University Departments [University Website and Social Media Platforms],Overall Satisfaction with University Departments [Science/Practical Laboratories],Overall Satisfaction with University Departments [Community Outreach services],Overall Satisfaction with University Departments [Security department],"4
Rate your overall experience about Ndejje University","2
How likely are you to recommend someone to join Ndejje University",Home District,Hall of Residence,Tution 
Faculty of Engineering & Survey,Male,21/1/226/D/498,Day,2023,Main Campus Luwero,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Disagree,Agree,Good,Agree,Good,Average,Average,Neutral,Neutral,Agree,Disagree,Neutral,Agree,The food isðŸ¤®.The university must look at that..The food is really bad.,Neutral,Agree,Agree,Strongly agree,Strongly agree,Dissatisfied,Neutral,Satisfied,Very Dissatisfied,Neutral,Satisfied,Neutral,Very Dissatisfied,Satisfied,Neutral,Neutral,Satisfied,Dissatisfied,Neutral,5,4,Bukomansimbi,Akidua,"3,500,000"
Faculty of Engineering & Survey,Male,19/1/335/D/019,Day,2023,Main Campus Luwero,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Excellent,Agree,Average,Good,Average,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Catholics to be supported more when having issues for example electricity reaching block 12,Neutral,Strongly agree,Neutral,Disagree,Agree,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Very Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,4,3,Butambala,Yokaana,"4,000,000"
Faculty of Engineering & Survey,Male,21/1/226/D/078,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Good,Strongly agree,Excellent,Excellent,Good,Agree,Agree,Agree,Agree,Neutral,Strongly agree,There should not deny any resident food wether paid or not because all of the residents pay during examination time for the services they din't get.,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,3,Buvuma,Muteesa,"3,000,000"
Faculty of Engineering & Survey,Male,21/1/231/D/009,Day,2023,Main Campus Luwero,Neutral,Disagree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Good,Agree,Excellent,Good,Poor,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Strongly agree,"Improve student and staff relationship through transparency, hardwork and respect for each other to Foster mutual understanding",Strongly agree,Disagree,Agree,Disagree,Strongly agree,Dissatisfied,Neutral,Satisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Satisfied,3,3,Gomba,Akidua,"2,500,000"
Faculty of Engineering & Survey,Female,21/1/231/D/537,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Good,Good,Good,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Improvement of meals and hall of residency is neede,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,4,5,Kalangala,Ham Mukasa,"1,500,000"
Faculty of Engineering & Survey,Male,21/1/231/D/533,Day,2023,Main Campus Luwero,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Good,Agree,Good,Good,Average,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Catholics should also be catered for though itâ€™s an  Anglican institution,Disagree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Dissatisfied,Neutral,4,4,Kalungu,Yokaana,"3,500,000"
Faculty of Engineering & Survey,Male,21/1/231/D/271,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Excellent,Strongly agree,Good,Good,Average,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,NA,Strongly agree,Agree,Agree,Strongly disagree,Agree,Satisfied,Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Satisfied,4,4,Kampala,Muteesa,"4,000,000"
Faculty of Engineering & Survey,Male,21/1/231/D/488,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Excellent,Strongly agree,Good,Good,Good,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,NA,Strongly agree,Agree,Agree,Agree,Agree,Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,1,1,Kasanda,Akidua,"3,000,000"
Faculty of Engineering & Survey,Female,20/2/329/W/819,Weekend,2023,Kampala Campus,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Average,Agree,Good,Average,Poor,Neutral,Agree,Neutral,Neutral,Strongly disagree,Neutral,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very Satisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,4,3,Kayunga,Ham Mukasa,"2,500,000"
Faculty of Engineering & Survey,Male,21/1/231/D/153,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Good,Strongly agree,Fair,Good,Good,Agree,Neutral,Agree,Disagree,Neutral,Agree,Improve on the quality of the food,Neutral,Agree,Agree,Disagree,Disagree,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Satisfied,Satisfied,5,2,Kiboga,Yokaana,"1,500,000"
Faculty of Engineering & Survey,Female,21/1/231/D/522,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Average,Strongly agree,Excellent,Excellent,Average,Neutral,Neutral,Strongly agree,Agree,Neutral,Neutral,None,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,3,4,Kyankwanzi,Muteesa,"1,800,000"
Faculty of Engineering & Survey,Female,21/1/231/D/376,Day,2023,Main Campus Luwero,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Excellent,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No comment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,5,5,Kyotera,Akidua,"3,800,000"
Faculty of Engineering & Survey,Male,19/2/329/w/763,Weekend,2023,Kampala Campus,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Good,Agree,Good,Good,Good,Agree,Strongly agree,Agree,Agree,Agree,Agree,More rooms need to be allocated for studies,Agree,Agree,Agree,Agree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,5,5,Luweero,Ham Mukasa,"2,200,000"
Faculty of Engineering & Survey,Female,21/1/231/D/537,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Good,Strongly agree,Good,Good,Good,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Excellent services,Agree,Agree,Agree,Agree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,5,Lwengo,Yokaana,"1,600,000"
Faculty of Engineering & Survey,Female,21/1/224/D/347,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Disagree,Good,Agree,Fair,Average,Average,Neutral,Agree,Agree,Neutral,Disagree,Agree,NA,Disagree,Neutral,Agree,Agree,Agree,Neutral,Satisfied,Very Satisfied,Neutral,Dissatisfied,Very Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Very Satisfied,5,4,Lyantonde,Muteesa,"2,000,000"
Faculty of Engineering & Survey,Male,21/1/224/D/154,Day,2023,Main Campus Luwero,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Good,Agree,Average,Good,Good,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Disagree,The food in the dining should be really improved,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Satisfied,Neutral,Very Satisfied,Satisfied,Dissatisfied,Neutral,Very Satisfied,Very Dissatisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Dissatisfied,Satisfied,4,4,Masaka,Akidua,"1,700,000"
Faculty of Engineering & Survey,Male,21/1/224/D/331,Day,2023,Main Campus Luwero,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Good,Strongly agree,Average,Average,Average,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Dissatisfied,Very Satisfied,Neutral,Neutral,Very Satisfied,Satisfied,Neutral,3,4,Mityana,Ham Mukasa,"1,900,000"
Faculty of Engineering & Survey,Male,21/1/224/D/046,Day,2023,Main Campus Luwero,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Average,Neutral,Average,Average,Poor,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,NA,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,2,2,Mpigi,Akidua,"1,500,000"
Faculty of Engineering & Survey,Female,21/1/224/D/232,Day,2023,Main Campus Luwero,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Good,Strongly agree,Fair,Fair,Poor,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Hall bathrooms and toilets should be cleaned regularly and there should be constant supply of water.,Neutral,Neutral,Disagree,Strongly disagree,Neutral,Very Dissatisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Dissatisfied,Satisfied,Neutral,Neutral,Satisfied,5,4,Mubende,Yokaana,"1,800,000"
Faculty of Engineering & Survey,Female,21/1/224/D/238,Day,2023,Main Campus Luwero,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Excellent,Strongly agree,Good,Fair,Fair,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,I humbly suggest that the meals be improved as most of the time some of us had to eat half cooked food which didn't do us well,Agree,Strongly agree,Disagree,Disagree,Agree,Dissatisfied,Neutral,Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Very Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Very Satisfied,Satisfied,Very Dissatisfied,3,3,Mukono,Muteesa,"2,200,000"
Faculty of Engineering & Survey,Female,21/1/224/D/416,Day,2023,Main Campus Luwero,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Good,Agree,Good,Good,Average,Agree,Agree,Agree,Neutral,Agree,Strongly agree,NA,Agree,Agree,Neutral,Neutral,Agree,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,5,4,Nakaseke,Akidua,"2,500,000"
Faculty of Engineering & Survey,Female,20/1/224/D/651,Day,2023,Main Campus Luwero,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Good,Neutral,Good,Good,Good,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree,Neutral,NA,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,4,4,Nakasongola,Ham Mukasa,"2,000,000"
Faculty of Engineering & Survey,Male,16/1/224/D/309,Day,2023,Main Campus Luwero,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Good,Agree,Good,Good,Poor,Agree,Agree,Agree,Agree,Agree,Agree,NA,Agree,Agree,Agree,Agree,Agree,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,4,4,Rakai,Yokaana,"2,100,000"
Faculty of Engineering & Survey,Female,21/1/224/D/183,Day,2023,Main Campus Luwero,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Average,Agree,Average,Average,Average,Neutral,Agree,Strongly agree,Disagree,Agree,Strongly agree,NA,Agree,Agree,Agree,Agree,Agree,Satisfied,Neutral,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,4,4,Sembabule,Muteesa,"2,300,000"
Faculty of Engineering & Survey,Male,21/1/224/D/143,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Excellent,Strongly agree,Excellent,Excellent,Average,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,I encourage the Community Holy Assembly Time to be a Pillar,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,1,1,Wakiso,Akidua,"2,400,000"
Faculty of Engineering & Survey,Female,21/1/224/D/183,Day,2023,Main Campus Luwero,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Good,Agree,Average,Average,Average,Neutral,Agree,Strongly agree,Disagree,Agree,Strongly agree,There's need to improve the quality of meals provided.,Agree,Agree,Agree,Agree,Agree,Satisfied,Neutral,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied,Satisfied,4,4,Amuria,Ham Mukasa,"2,500,000"
Faculty of Engineering & Survey,Male,21/1/224/D/356,Day,2023,Main Campus Luwero,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Fair,Disagree,Average,Good,Fair,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,NA,Strongly disagree,Neutral,Disagree,Strongly disagree,Agree,Dissatisfied,Neutral,Satisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Neutral,Very Dissatisfied,Neutral,Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,2,1,Budaka,Yokaana,"1,700,000"
Faculty of Engineering & Survey,Female,20/1/224/D/331,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Good,Agree,Good,Good,Fair,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,NA,Agree,Agree,Agree,Agree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,4,3,Bududa,Muteesa,"1,800,000"
Faculty of Engineering & Survey,Female,21/1/224/D/499,Day,2023,Main Campus Luwero,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Good,Neutral,Average,Average,Fair,Neutral,Neutral,Agree,Neutral,Neutral,Agree,NA,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Satisfied,3,3,Bugiri,Akidua,"2,200,000"
Faculty of Engineering & Survey,Male,21/1/224/D/490,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Excellent,Strongly agree,Average,Average,Average,Strongly disagree,Agree,Strongly agree,Neutral,Neutral,Agree,NA,Agree,Agree,Agree,Agree,Agree,Satisfied,Neutral,Very Satisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,4,3,Bugweri,Ham Mukasa,"3,000,000"
Faculty of Engineering & Survey,Male,21/1/224/D/310,Day,2023,Main Campus Luwero,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Good,Agree,Fair,Good,Fair,Agree,Agree,Agree,Neutral,Agree,Agree,NA,Agree,Agree,Agree,Agree,Agree,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,3,2,Bukedea,Yokaana,"1,900,000"
Faculty of Engineering & Survey,Male,21/1/224/D/152,Day,2023,Main Campus Luwero,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Fair,Agree,Average,Good,Poor,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree,NA,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,3,3,Bukwo,Muteesa,"1,600,000"
Faculty of Engineering & Survey,Male,21/1/224/D/204,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Strongly agree,Good,Agree,Good,Good,Average,Neutral,Neutral,Disagree,Agree,Strongly disagree,Disagree,"A lot of money is paid for residence, it should be given more attention to ensure its conducive, especially the wash rooms, both showers and toilets and water issues as well.",Neutral,Neutral,Agree,Disagree,Agree,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Very Satisfied,Satisfied,Dissatisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,4,4,Bulambuli,Akidua,"1,800,000"
Faculty of Engineering & Survey,Female,21/1/224/D/088,Day,2023,Main Campus Luwero,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Good,Agree,Fair,Average,Fair,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,NA,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Dissatisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,4,4,Busia,Ham Mukasa,"1,900,000"
Faculty of Engineering & Survey,Male,21/1/224/D/083,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Excellent,Agree,Average,Average,Average,Neutral,Agree,Agree,Agree,Agree,Agree,Well done,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,4,4,Butaleja,Akidua,"1,700,000"
Faculty of Engineering & Survey,Male,21/1/224/d/436,Day,2023,Main Campus Luwero,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Excellent,Strongly agree,Excellent,Excellent,Good,Agree,Agree,Agree,Agree,Agree,Agree,Yes they should be improved by adding on each facility,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,4,4,Butebo,Yokaana,"1,800,000"
Faculty of Engineering & Survey,Male,21/1/224/D/042,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Good,Excellent,Good,Neutral,Agree,Agree,Agree,Agree,Agree,Welfare,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Dissatisfied,Satisfied,Very Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,4,4,Buyende,Muteesa,"1,600,000"
Faculty of Engineering & Survey,Male,21/1/224/D/557,Day,2023,Main Campus Luwero,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Excellent,Excellent,Good,Agree,Agree,Agree,Agree,Agree,Agree,Cooks should take us like own Childrens',Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,5,5,Iganga,Akidua,"1,700,000"
Faculty of Engineering & Survey,Male,20/1/224/D/487,Day,2023,Main Campus Luwero,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Fair,Agree,Good,Fair,Poor,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Agree,The university should provide quality meals and in adequate,Disagree,Agree,Disagree,Strongly disagree,Neutral,Dissatisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Very Satisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,2,2,Jinja,Ham Mukasa,"1,800,000"
Faculty of Engineering & Survey,Male,20/1/224/D/097,Day,2023,Main Campus Luwero,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Good,Agree,Average,Average,Average,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Good,Agree,Agree,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,1,1,Bukomansimbi,Yokaana,"1,600,000"
Faculty of Engineering & Survey,Male,21/1/224/D/051,Day,2023,Main Campus Luwero,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Excellent,Agree,Fair,Good,Fair,Neutral,Agree,Agree,Neutral,Agree,Strongly disagree,A New charpel should be built,Agree,Agree,Agree,Disagree,Agree,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,4,4,Butambala,Muteesa,"1,700,000"
Faculty of Engineering & Survey,Male,21/1/224/D/303,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Excellent,Excellent,Excellent,Agree,Agree,Strongly agree,Agree,Agree,Agree,Meals should be improved by changing diet atleast every after three days,Agree,Agree,Agree,Agree,Strongly agree,Satisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,4,4,Buvuma,Akidua,"1,600,000"
Faculty of Engineering & Survey,Male,21/1/224/d/193,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Excellent,Good,Excellent,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Should encourage students to pay in time their tution,Agree,Agree,Agree,Strongly agree,Strongly agree,Very Satisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,4,4,Gomba,Akidua,"1,800,000"
Faculty of Engineering & Survey,Male,20/1/224/D/537,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Excellent,Strongly agree,Average,Good,Fair,Agree,Agree,Strongly agree,Agree,Neutral,Agree,more effort is needed in the DH,Agree,Agree,Agree,Disagree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,4,4,Kalangala,Yokaana,"1,700,000"
